"Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AITool","Employment"
"pretoria campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;C++;Java;Python;TypeScript","Couchbase;MongoDB;SQLite","Amazon Web Services (AWS);Google Cloud;Scaleway","React;Spring Boot","Manufacturing, Transportation, or Supply Chain","Bing AI;ChatGPT","GitHub Copilot;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"durban campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL","Microsoft SQL Server;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Oracle Cloud Infrastructure (OCI)","Django;Flask;jQuery","Wholesale","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Tabnine","Employed, full-time"
"bloemfontein campus","IT","I am a developer by profession","Developer, full-stack","Associate degree (A.A., A.S., etc.)","C#;C++;SQL","Microsoft SQL Server","Microsoft Azure","ASP.NET CORE;Next.js;Node.js;React","Retail and Consumer Services","ChatGPT","Rubber Duck.AI","Employed, full-time"
"bloemfontein campus","Computer Science","I am a developer by profession","Other (please specify):","Some college/university study without earning a degree","Java;JavaScript;Kotlin;Python","Cloud Firestore;MySQL;PostgreSQL;SQLite","Firebase;Heroku","Django;Flask","Higher Education","ChatGPT","Adrenaline","Employed, full-time"
"pretoria campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Rust;SQL;TypeScript;Zig","Cockroachdb;InfluxDB;MongoDB;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Cloudflare;Fly.io;Google Cloud","Deno;Django;Express;Gatsby;NestJS;Next.js;Node.js;React;Vue.js","Advertising Services","ChatGPT;Google Bard AI;Phind;WolframAlpha","Mintlify;Tabnine","Employed, full-time"
"bloemfontein campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;PHP;SQL","MySQL;PostgreSQL","Amazon Web Services (AWS);Cloudflare;Linode, now Akamai;Microsoft Azure","CodeIgniter;jQuery;Laravel;Node.js;WordPress","Higher Education","ChatGPT","AWS CodeWhisperer;Replit Ghostwriter;Tabnine","Independent contractor, freelancer, or self-employed"
"durban campus","IT","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript","Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite","Cloudflare;Digital Ocean;Hetzner;Managed Hosting","Express;FastAPI;Next.js;Node.js;Nuxt.js;React;Vue.js;WordPress","Financial Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Tabnine;Whispr AI","Employed, full-time"
"vanderbijlpark campus","IT","I am not primarily a developer, but I write code sometimes as part of my work/studies","Data scientist or machine learning specialist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Assembly;Bash/Shell (all shells);Delphi;Fortran;Groovy;Lisp;Python;R;SQL","Elasticsearch;InfluxDB;Oracle;PostgreSQL","Oracle Cloud Infrastructure (OCI)","Spring Boot","Manufacturing, Transportation, or Supply Chain","ChatGPT","Whispr AI","Independent contractor, freelancer, or self-employed"
"nelson mandela bay campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Bash/Shell (all shells);C#;HTML/CSS;JavaScript;SQL;TypeScript","Microsoft SQL Server;MongoDB;PostgreSQL;SQLite","Amazon Web Services (AWS);Microsoft Azure;Oracle Cloud Infrastructure (OCI)","Angular;ASP.NET;ASP.NET CORE;Node.js","Insurance","ChatGPT","Replit Ghostwriter;Tabnine","Employed, full-time"
"pretoria campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Academic researcher","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","C++;Haskell;HTML/CSS;Java;Python;Scala;SQL","MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Microsoft Azure","Play Framework;Vue.js;WordPress","Advertising Services","Bing AI;ChatGPT;WolframAlpha","Adrenaline;AWS CodeWhisperer;Codeium;Mintlify;Rubber Duck.AI;Synk Code;Tabnine","Employed, full-time"
"durban campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C++;Groovy;JavaScript;Python;Rust;Scala;SQL;TypeScript","PostgreSQL","Amazon Web Services (AWS)","Django;React","Other","ChatGPT;WolframAlpha","AWS CodeWhisperer;Codeium;GitHub Copilot;Tabnine;Whispr AI","Employed, full-time"
"nelson mandela bay campus","Data Science","I am a developer by profession","Developer, back-end","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Ada;Assembly;Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;Kotlin;PHP;Ruby;SQL","Elasticsearch;MariaDB;MySQL;SQLite","OpenStack","Spring Boot","Insurance","ChatGPT","AWS CodeWhisperer;Mintlify;Replit Ghostwriter;Synk Code;Tabnine","Employed, full-time"
"vanderbijlpark campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust;Scala;SQL;TypeScript","PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Digital Ocean","Flask;React","Information Services, IT, Software Development, or other Technology","ChatGPT","Adrenaline;GitHub Copilot;Rubber Duck.AI","Employed, full-time"
"durban campus","Computer Science","I am a developer by profession","Developer, game or graphics","Some college/university study without earning a degree","C#;HTML/CSS;JavaScript;PHP;Python;TypeScript","Cloud Firestore;PostgreSQL","Amazon Web Services (AWS);Firebase;Google Cloud","AngularJS;ASP.NET;ASP.NET CORE;Django;Node.js;Vue.js;WordPress","Advertising Services","ChatGPT","AWS CodeWhisperer;Replit Ghostwriter;Tabnine","Employed, full-time"
"bloemfontein campus","IT","I am a developer by profession","Research & Development role","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;Python;Rust;TypeScript","MongoDB;MySQL;Redis","Amazon Web Services (AWS);Google Cloud","Flask;Node.js;React","Financial Services","ChatGPT","GitHub Copilot;Synk Code;Tabnine","Employed, full-time"
"durban campus","Computer Science","I am a developer by profession","Developer, back-end","Some college/university study without earning a degree","C#;PowerShell;SQL","Microsoft SQL Server","Microsoft Azure","ASP.NET CORE","Oil & Gas","Bing AI;ChatGPT","Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine","Independent contractor, freelancer, or self-employed"
"pretoria campus","Computer Science","I am a developer by profession","Data scientist or machine learning specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Julia;Python;R;Scala;SQL","DuckDB;Oracle","Amazon Web Services (AWS)","Flask","Retail and Consumer Services","ChatGPT;WolframAlpha","Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine","Employed, full-time"
"bloemfontein campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript","MySQL;SQLite","Amazon Web Services (AWS)","Laravel;Node.js;Vue.js","Retail and Consumer Services","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Tabnine;Whispr AI","Employed, full-time"
"vanderbijlpark campus","IT","I am learning to code","Student","Some college/university study without earning a degree","Dart;HTML/CSS;Java;JavaScript;Kotlin;PHP","MySQL","Netlify","Laravel;WordPress","Manufacturing, Transportation, or Supply Chain","ChatGPT","GitHub Copilot;Replit Ghostwriter;Tabnine","Not employed, but looking for work;Student, full-time"
"vanderbijlpark campus","Computer Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;SQL;TypeScript","Elasticsearch;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite","Cloudflare;Hetzner;OVH;Scaleway;VMware","AngularJS;ASP.NET;ASP.NET CORE;Blazor;CodeIgniter;jQuery;Laravel;Node.js;React;WordPress","Financial Services","Bing AI;ChatGPT","AWS CodeWhisperer;Replit Ghostwriter","Employed, full-time"
"pretoria campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Other (please specify):","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;SQL","Cosmos DB;Microsoft SQL Server;Oracle;Redis","Cloudflare;Microsoft Azure;Oracle Cloud Infrastructure (OCI)","Angular;ASP.NET;ASP.NET CORE;Django;jQuery;Node.js","Oil & Gas","Bing AI;ChatGPT;WolframAlpha","Codeium;GitHub Copilot;Tabnine","Employed, full-time"
"durban campus","Data Science","I am a developer by profession","Developer, back-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Bash/Shell (all shells);Go;JavaScript;Python;Rust;SQL;TypeScript","MariaDB;MySQL;Oracle;PostgreSQL","Amazon Web Services (AWS)","Express;Node.js","Other","ChatGPT","Codeium","Employed, full-time;Independent contractor, freelancer, or self-employed"
"pretoria campus","Data Science","I am a developer by profession","Engineer, data","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C;C#;Go;HTML/CSS;Java;JavaScript;PHP;Rust;SQL;TypeScript","BigQuery;Elasticsearch;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Vercel","Angular;Express;FastAPI;Laravel;Next.js;Node.js;React;Spring Boot","Oil & Gas","ChatGPT;Google Bard AI","Codeium;GitHub Copilot","Employed, full-time;Independent contractor, freelancer, or self-employed"
"nelson mandela bay campus","Data Science","I am a developer by profession","Developer, front-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","HTML/CSS;JavaScript;PHP;Python","Oracle","Oracle Cloud Infrastructure (OCI)","WordPress","Manufacturing, Transportation, or Supply Chain","Bing AI;Google Bard AI;Quora Poe","AWS CodeWhisperer;Synk Code","Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time;Student, part-time"
"vanderbijlpark campus","Computer Science","I am a developer by profession","Other (please specify):","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Python;SQL","MongoDB;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Heroku","Django;Flask","Retail and Consumer Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Tabnine","Employed, full-time"
"durban campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;Java;Python","Microsoft SQL Server;PostgreSQL","Linode, now Akamai;Microsoft Azure;Oracle Cloud Infrastructure (OCI)","Angular;AngularJS;ASP.NET;ASP.NET CORE;Flask;jQuery;Spring Boot;Vue.js","Manufacturing, Transportation, or Supply Chain","ChatGPT","AWS CodeWhisperer","Employed, full-time"
"durban campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;TypeScript","Firebase Realtime Database;PostgreSQL;Redis","Google Cloud","Fastify;Node.js","Financial Services","ChatGPT","Synk Code;Tabnine","Employed, full-time"
"vanderbijlpark campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;Groovy;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript","Microsoft SQL Server","Google Cloud","ASP.NET;ASP.NET CORE;Node.js;React","Advertising Services","ChatGPT;Google Bard AI","GitHub Copilot","Employed, full-time"
"vanderbijlpark campus","Data Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);JavaScript;Julia;Python;Rust;SQL","SQLite","Amazon Web Services (AWS)","FastAPI;Vue.js","Advertising Services","ChatGPT","GitHub Copilot;Replit Ghostwriter;Rubber Duck.AI;Tabnine","Employed, full-time"
"durban campus","IT","I am a developer by profession","Developer, QA or test","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;C++;HTML/CSS;Java;Python;TypeScript","Elasticsearch;MongoDB;PostgreSQL","Amazon Web Services (AWS)","Spring Boot","Financial Services","Bing AI;ChatGPT","AWS CodeWhisperer;GitHub Copilot;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"durban campus","Data Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Security professional","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Assembly;Bash/Shell (all shells);C;C#;C++;Java;JavaScript;Kotlin;PowerShell;Python;Rust;SQL;Swift","Cassandra;Elasticsearch;MariaDB;MySQL;PostgreSQL;SQLite","VMware","Flask;WordPress","Manufacturing, Transportation, or Supply Chain","ChatGPT;WolframAlpha","GitHub Copilot;Synk Code","Employed, full-time;Student, part-time"
"nelson mandela bay campus","IT","I am a developer by profession","Project manager","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C++;HTML/CSS;Java;JavaScript;TypeScript","MariaDB;Microsoft SQL Server;MongoDB;MySQL;SQLite","Managed Hosting","Deno;Express;Node.js;React","Retail and Consumer Services","Phind","AWS CodeWhisperer;Whispr AI","Employed, part-time"
"bloemfontein campus","IT","I am learning to code","Developer, full-stack","Some college/university study without earning a degree","HTML/CSS;JavaScript;Python;SQL","Cloud Firestore;MongoDB;MySQL","Netlify","Django;jQuery;Node.js;React","Oil & Gas","ChatGPT","GitHub Copilot;Mintlify;Tabnine","Not employed, but looking for work;Student, full-time"
"durban campus","IT","I am a developer by profession","DevOps specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C;C++;Go;Groovy;HTML/CSS;JavaScript;Lua;Objective-C;Perl;PHP;Python;Ruby;SQL","Dynamodb;Elasticsearch;InfluxDB;MariaDB;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Cloudflare","Node.js;Play Framework;WordPress","Legal Services","Bing AI","AWS CodeWhisperer;Replit Ghostwriter;Rubber Duck.AI;Tabnine","Not employed, but looking for work"
"bloemfontein campus","Data Science","I code primarily as a hobby","Other (please specify):","Something else","Bash/Shell (all shells);HTML/CSS;JavaScript;Python","MongoDB","Cloudflare","Node.js","Higher Education","ChatGPT;WolframAlpha","Rubber Duck.AI","Independent contractor, freelancer, or self-employed"
"pretoria campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Ruby;SQL","Dynamodb;MongoDB;PostgreSQL;Redis","Amazon Web Services (AWS);Google Cloud","Ruby on Rails","Oil & Gas","Phind","AWS CodeWhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine","Employed, full-time"
"bloemfontein campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Java;Python","MongoDB;MySQL;SQLite","Amazon Web Services (AWS)","Spring Boot","Legal Services","Bing AI;ChatGPT","GitHub Copilot;Replit Ghostwriter","Employed, full-time"
"durban campus","Data Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Engineering manager","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","C#;Go;Java;JavaScript;Kotlin;SQL;TypeScript","Microsoft SQL Server;Oracle","Amazon Web Services (AWS);Microsoft Azure","Angular;Spring Boot","Wholesale","ChatGPT","Adrenaline;GitHub Copilot;Synk Code","Employed, full-time"
"durban campus","Computer Science","I am a developer by profession","Developer, full-stack","Associate degree (A.A., A.S., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;Ruby;TypeScript","MongoDB;MySQL;PostgreSQL;SQLite;Supabase","Fly.io;Google Cloud;Heroku;Render","Express;Node.js;React;Ruby on Rails","Wholesale","ChatGPT;Google Bard AI","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter","Independent contractor, freelancer, or self-employed;Not employed, but looking for work"
"vanderbijlpark campus","Computer Science","I used to be a developer by profession, but no longer am","Senior Executive (C-Suite, VP, etc.)","Something else","Bash/Shell (all shells);Crystal;HTML/CSS;Ruby","MariaDB;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Digital Ocean","Ruby on Rails","Insurance","ChatGPT","Adrenaline;Codeium;GitHub Copilot","Independent contractor, freelancer, or self-employed"
"pretoria campus","IT","I am a developer by profession","Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Ada;C;C#;C++;F#;Go;Java;JavaScript;Kotlin;PowerShell;Python;Rust;SQL;TypeScript","Couch DB;Microsoft SQL Server;PostgreSQL;SQLite","Amazon Web Services (AWS);Microsoft Azure","AngularJS;Express;Flask;Node.js;React;Vue.js","Other","ChatGPT","Synk Code;Tabnine;Whispr AI","Employed, full-time"
"bloemfontein campus","Computer Science","I am a developer by profession","Developer, back-end","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript","Dynamodb;InfluxDB;PostgreSQL","Amazon Web Services (AWS)","Flask;Node.js;React;Spring Boot;Vue.js","Advertising Services","ChatGPT","GitHub Copilot","Employed, full-time"
"durban campus","Computer Science","I am a developer by profession","Developer, full-stack","Associate degree (A.A., A.S., etc.)","HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript","Microsoft SQL Server;MySQL","Digital Ocean;Microsoft Azure","Angular;Svelte","Insurance","Bing AI;ChatGPT","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter","Employed, full-time"
"vanderbijlpark campus","Data Science","I am a developer by profession","Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Apex;Bash/Shell (all shells);JavaScript;Python;Swift","MongoDB","Amazon Web Services (AWS)","Django;Express","Insurance","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Tabnine;Whispr AI","Employed, full-time"
"durban campus","Data Science","I am a developer by profession","Developer, desktop or enterprise applications","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;Python;TypeScript","MongoDB;MySQL;SQLite;Supabase","Google Cloud;Managed Hosting;Vercel","Deno;Express;Flask;Next.js;Node.js;React;Svelte","Wholesale","ChatGPT;WolframAlpha","Adrenaline;Synk Code;Whispr AI","Student, full-time;Employed, part-time"
"durban campus","Computer Science","I used to be a developer by profession, but no longer am","Project manager","Associate degree (A.A., A.S., etc.)","Bash/Shell (all shells);C;C++;Rust","Microsoft SQL Server;MongoDB","Amazon Web Services (AWS);Microsoft Azure","ASP.NET CORE;Node.js;React","Advertising Services","ChatGPT","Adrenaline;AWS CodeWhisperer;Codeium;Mintlify;Rubber Duck.AI;Synk Code;Tabnine","Employed, full-time"
"pretoria campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Java;Kotlin;Scala","Cassandra;Elasticsearch;H2;MongoDB;MySQL;Oracle;PostgreSQL;Redis","Amazon Web Services (AWS);Google Cloud;Heroku;Linode, now Akamai;Microsoft Azure","jQuery;Play Framework;React","Legal Services","WolframAlpha","Mintlify","Employed, full-time"
"bloemfontein campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;JavaScript;SQL;TypeScript","Microsoft SQL Server","Microsoft Azure","Angular","Advertising Services","ChatGPT","Codeium;GitHub Copilot","Employed, full-time"
"pretoria campus","IT","I am a developer by profession","Engineering manager","Some college/university study without earning a degree","Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript","PostgreSQL;Redis;SQLite","Digital Ocean;Hetzner","FastAPI;Flask;React","Healthcare","ChatGPT","Mintlify;Synk Code","Employed, full-time"
"durban campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;Python;SQL","Cloud Firestore;Firebase Realtime Database;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Firebase;Google Cloud;Heroku","Django;jQuery;React;WordPress","Retail and Consumer Services","ChatGPT;Google Bard AI","AWS CodeWhisperer;Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine","Employed, full-time"
"durban campus","Data Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Project manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C#;C++;Cobol;Groovy;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript","Dynamodb;MariaDB;Microsoft SQL Server;MongoDB;MySQL","Amazon Web Services (AWS);Heroku;Linode, now Akamai;Oracle Cloud Infrastructure (OCI);VMware","Django;FastAPI;Flask;jQuery;Node.js;React;Spring Boot","Other","ChatGPT","AWS CodeWhisperer;Mintlify","Employed, full-time;Student, full-time"
"durban campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;Kotlin;PHP;Python","MariaDB;Microsoft Access;Microsoft SQL Server;MySQL;SQLite","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Microsoft Azure","Angular;AngularJS;CodeIgniter;Django;FastAPI;Flask;jQuery;React;WordPress","Legal Services","Bing AI;ChatGPT;Quora Poe","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Tabnine;Whispr AI","Employed, full-time;Independent contractor, freelancer, or self-employed"
"nelson mandela bay campus","Computer Science","I am a developer by profession","Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;TypeScript","MongoDB","Cloudflare","Angular;Deno;Node.js;React","Manufacturing, Transportation, or Supply Chain","ChatGPT","GitHub Copilot;Rubber Duck.AI;Tabnine","Not employed, but looking for work"
"bloemfontein campus","IT","I am a developer by profession","Data scientist or machine learning specialist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","JavaScript","Oracle","Amazon Web Services (AWS)","Angular","Advertising Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Tabnine","Employed, full-time"
"nelson mandela bay campus","Data Science","I am a developer by profession","Engineer, data","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C++;Fortran;Python;Scala","Microsoft SQL Server;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Microsoft Azure;Netlify","Django;Flask","Other","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Synk Code;Tabnine","Employed, full-time"
"pretoria campus","Data Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","C;C#;C++;HTML/CSS;Java;JavaScript;PHP;SQL","Firebase Realtime Database;Microsoft SQL Server;MySQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Firebase;OVH;Vercel","Express;jQuery;NestJS;Next.js;Node.js;React;Symfony;WordPress","Retail and Consumer Services","ChatGPT","Synk Code;Tabnine;Whispr AI","Independent contractor, freelancer, or self-employed"
"bloemfontein campus","Computer Science","I am a developer by profession","Security professional","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;Elixir;JavaScript;Rust;TypeScript","Cosmos DB;InfluxDB;PostgreSQL;Redis","Microsoft Azure","ASP.NET CORE;Node.js;Phoenix","Insurance","Bing AI;ChatGPT","Adrenaline;Mintlify","Employed, full-time;Student, part-time"
"durban campus","IT","I am a developer by profession","Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Bash/Shell (all shells);C#;Go;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;Rust;SQL","Elasticsearch;MariaDB;MongoDB;Neo4J;PostgreSQL;Redis;SQLite;Supabase","Cloudflare;Hetzner;Netlify","Laravel;Node.js;Svelte;Vue.js","Higher Education","ChatGPT","Mintlify;Tabnine","Employed, full-time"
"pretoria campus","Data Science","I am a developer by profession","Developer Advocate","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","HTML/CSS;JavaScript;Objective-C;Rust;TypeScript","Redis;SQLite","Amazon Web Services (AWS);Netlify;Vercel","Elm;Fastify;Node.js;React;Solid.js;Svelte;Vue.js","Wholesale","ChatGPT","GitHub Copilot;Rubber Duck.AI","Employed, full-time"
"vanderbijlpark campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;Lua;Python;Rust;SQL;TypeScript","InfluxDB;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Hetzner;Vercel","Express;Flask;Next.js;React","Healthcare","Bing AI;ChatGPT;Google Bard AI","Tabnine","Employed, full-time"
"durban campus","IT","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","HTML/CSS;SQL;TypeScript","PostgreSQL","Amazon Web Services (AWS);Heroku;Netlify;Vercel","Next.js;React","Manufacturing, Transportation, or Supply Chain","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Tabnine","Employed, full-time"
"durban campus","Data Science","I used to be a developer by profession, but no longer am","Educator","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL","MariaDB;PostgreSQL;SQLite","Amazon Web Services (AWS)","Django;Flask;jQuery;WordPress","Healthcare","Bing AI;ChatGPT","Adrenaline;Tabnine","Not employed, but looking for work"
"pretoria campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;JavaScript;TypeScript","Dynamodb;Elasticsearch;Microsoft SQL Server;PostgreSQL;SQLite","Amazon Web Services (AWS);Digital Ocean","Angular;ASP.NET CORE;jQuery;Node.js;React","Wholesale","ChatGPT","AWS CodeWhisperer;Replit Ghostwriter;Rubber Duck.AI;Tabnine","Employed, full-time"
"vanderbijlpark campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","System administrator","Some college/university study without earning a degree","Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL","Microsoft SQL Server;PostgreSQL;SQLite","Amazon Web Services (AWS);Digital Ocean;Microsoft Azure;VMware","Node.js","Healthcare","WolframAlpha","Adrenaline;Mintlify;Rubber Duck.AI","Employed, full-time"
"nelson mandela bay campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;HTML/CSS;JavaScript;MATLAB;PHP;Python;SQL;TypeScript","Dynamodb;MariaDB;MongoDB;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Heroku;VMware","Angular;AngularJS;Django;Express;Flask;jQuery;Laravel;NestJS;Next.js;Node.js;React;Vue.js","Wholesale","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Tabnine;Whispr AI","Employed, full-time"
